s.curve,team,region,seed
1,Connecticut,East,1
2,Houston,South,1
3,Purdue,Midwest,1
4,North Carolina,West,1
5,Arizona,West,2
6,Tennessee,Midwest,2
7,Marquette,South,2
8,Iowa St.,East,2
9,Illinois,East,3
10,Kentucky,South,3
11,Creighton,Midwest,3
12,Baylor,West,3
13,Alabama,West,4
14,Kansas,Midwest,4
15,Duke,South,4
16,Auburn,East,4
17,San Diego St.,East,5
18,Wisconsin,South,5
19,Gonzaga,Midwest,5
20,Saint Mary's,West,5
21,Clemson,West,6
22,South Carolina,Midwest,6
23,Texas Tech,South,6
24,BYU,East,6
25,Washington St.,East,7
26,Florida,South,7
27,Texas,Midwest,7
28,Dayton,West,7
29,Mississippi St.,West,8
30,Utah St.,Midwest,8
31,Nebraska,South,8
32,Florida Atlantic,East,8
33,Northwestern,East,9
34,Texas A&M,South,9
35,TCU,Midwest,9
36,Michigan St.,West,9
37,Nevada,West,10
38,Colorado St.,Midwest,10
39,Colorado,South,10
40,Drake,East,10
41,Duquesne,East,11
42,N.C. State,South,11
43,Oregon,Midwest,11
44,New Mexico,West,11
45,Grand Canyon,West,12
46,McNeese St.,Midwest,12
47,James Madison,South,12
48,UAB,East,12
49,Yale,East,13
50,Vermont,South,13
51,Samford,Midwest,13
52,Charleston,West,13
53,Colgate,West,14
54,Akron,Midwest,14
55,Oakland,South,14
56,Morehead St.,East,14
57,South Dakota St.,East,15
58,Western Kentucky,South,15
59,Saint Peter's,Midwest,15
60,Long Beach St.,West,15
61,Wagner,West,16
62,Grambling St.,Midwest,16
63,Longwood,South,16
64,Stetson,East,16
