s_curve,team,region,seed
1,Auburn,South,1
2,Duke,East,1
3,Houston,Midwest,1
4,Florida,West,1
5,St. John's,West,2
6,Tennessee,Midwest,2
7,Alabama,East,2
8,Michigan St.,South,2
9,Iowa St.,South,3
10,Wisconsin,East,3
11,Kentucky,Midwest,3
12,Texas Tech,West,3
13,Maryland,West,4
14,Purdue,Midwest,4
15,Arizona,East,4
16,Texas A&M,South,4
17,Michigan,South,5
18,Oregon,East,5
19,Clemson,Midwest,5
20,Memphis,West,5
21,Missouri,West,6
22,Illinois,Midwest,6
23,BYU,East,6
24,Mississippi,South,6
25,Marquette,South,7
26,Saint Mary's,East,7
27,UCLA,Midwest,7
28,Kansas,West,7
29,Connecticut,West,8
30,Gonzaga,Midwest,8
31,Mississippi St.,East,8
32,Louisville,South,8
33,Creighton,South,9
34,Baylor,East,9
35,Georgia,Midwest,9
36,Oklahoma,West,9
37,Arkansas,West,10
38,Utah St.,Midwest,10
39,Vanderbilt,East,10
40,New Mexico,South,10
41,North Carolina,South,11
42,VCU,East,11
43,Xavier,Midwest,11
44,Drake,West,11
45,Colorado St.,West,12
46,McNeese,Midwest,12
47,Liberty,East,12
48,UC San Diego,South,12
49,Yale,South,13
50,Akron,East,13
51,High Point,Midwest,13
52,Grand Canyon,West,13
53,UNC Wilmington,West,14
54,Troy,Midwest,14
55,Montana,East,14
56,Lipscomb,South,14
57,Bryant,South,15
58,Robert Morris,East,15
59,Wofford,Midwest,15
60,Nebraska Omaha,West,15
61,Norfolk St.,West,16
62,SIUE,Midwest,16
63,Mount St. Mary's,East,16
64,Alabama St.,South,16
